支付宝	ZF0001
微信支付	ZF0002
交通银行	GY0001
中国工商银行	GY0002
中国建设银行	GY0003
中国农业银行	GY0004
中国银行	GY0005
中国邮政储蓄银行	GY0006
渤海银行	GF0001
广发银行	GF0002
恒丰银行	GF0003
华夏银行	GF0004
平安银行	GF0005
浦发银行	GF0006
兴业银行	GF0007
招商银行	GF0008
浙商银行	GF0009
中国光大银行	GF0010
中国民生银行	GF0011
中信银行	GF0012
自贡银行	CS0001
珠海南通银行	CS0002
珠海华润银行	CS0003
重庆银行	CS0004
重庆三峡银行	CS0005
重庆富民银行	CS0006
众邦银行	CS0007
中原银行	CS0008
中信百信银行	CS0009
中国信托商业银行	CS0010
中德住房储蓄银行	CS0011
郑州银行	CS0012
浙江泰隆商业银行	CS0013
浙江民泰商业银行	CS0014
浙江稠州商业银行	CS0015
长治市商业银行	CS0016
长沙银行	CS0017
长城华西银行	CS0018
长安银行	CS0019
张家口银行	CS0020
枣庄银行	CS0021
云南红塔银行	CS0022
永隆银行	CS0023
营口银行	CS0024
营口沿海银行	CS0025
宜宾市商业银行	CS0026
阳泉市商业银行	CS0027
烟台银行	CS0028
雅安市商业银行	CS0029
邢台银行	CS0030
新网银行	CS0031
新联商业银行	CS0032
新疆银行	CS0033
新疆汇和银行	CS0034
西藏银行	CS0035
西安银行	CS0036
乌鲁木齐银行	CS0037
乌海银行	CS0038
温州银行	CS0039
温州民商银行	CS0040
潍坊银行	CS0041
微众银行	CS0042
威海市商业银行	CS0043
网商银行	CS0044
铁岭银行	CS0045
天津银行	CS0046
天津金城银行	CS0047
唐山银行	CS0048
泰京银行	CS0049
泰华农民银行	CS0050
泰安银行	CS0051
台州银行	CS0052
台湾银行	CS0053
遂宁银行	CS0054
苏州银行	CS0055
苏宁银行	CS0056
四川天府银行	CS0057
石嘴山银行	CS0058
盛京银行	CS0059
绍兴银行	CS0060
上饶银行	CS0061
上海银行	CS0062
上海商业银行	CS0063
上海华瑞银行	CS0064
厦门银行	CS0065
厦门国际银行	CS0066
三湘银行	CS0067
日照银行	CS0068
泉州银行	CS0069
曲靖市商业银行	CS0070
青海银行	CS0071
青岛银行	CS0072
秦皇岛银行	CS0073
齐商银行	CS0074
齐鲁银行	CS0075
平顶山银行	CS0076
盘锦银行	CS0077
盘谷银行	CS0078
攀枝花市商业银行	CS0079
